index,count
25,3280
94,3314
64,3223
74,3342
68,3187
34,3381
18,3226
57,3290
7,3203
43,3287
121,3224
97,3301
61,3383
36,3268
49,3329
113,3302
101,3342
46,3392
45,3271
51,3357
127,3278
92,3303
85,3385
90,3300
86,3424
99,3268
115,3285
105,3293
107,3276
50,3186
91,3249
114,3234
102,3307
116,3348
109,3298
23,3271
66,3238
58,3206
55,3276
9,3242
27,3249
5,3339
31,3356
75,3356
77,3304
111,3348
80,3172
6,3244
8,3282
63,3200
118,3249
87,3309
98,3254
73,3272
117,3328
41,3135
96,3315
52,3254
65,3371
112,3295
122,3398
84,3254
106,3279
81,3243
32,3264
40,3361
110,3358
21,3230
11,3376
3,3317
62,3235
42,3260
38,3415
44,3245
30,3354
126,3293
60,3260
20,3264
56,3297
93,3284
15,3289
33,3261
10,3310
76,3224
119,3326
124,3182
79,3297
104,3342
24,3327
13,3248
89,3293
88,3213
95,3347
69,3369
71,3290
120,3316
35,3286
16,3231
100,3346
103,3261
26,3246
53,3268
125,3209
82,3310
2,3285
0,3301
39,3316
37,3223
14,3290
1,3328
83,3223
4,3404
59,3285
12,3314
78,3252
19,3362
123,3291
29,3229
17,3323
70,3204
28,3304
54,3323
47,3298
22,3293
108,3137
67,3233
72,3191
48,3381
